input_bod,input_cod,input_heavy_metals,input_virus,input_bacteria,pH,temperature,flow_rate,biofilter_media,filter_age,output_bod,output_cod,output_heavy_metals,output_virus,output_bacteria,recommended_biofilter
542.8,848.5,0.046,95,6675,6.68,26.7,5.48,activated carbon,31,205.5,269.0,0.006,28,900,Trickling Biofilter
482.8,820.0,0.132,233,9872,8.72,22.1,2.39,gravel,33,146.1,327.5,0.019,38,1684,Advanced Bio-scrubber
606.5,400.6,0.021,258,7638,5.54,24.8,2.65,gravel,90,221.4,116.6,0.006,82,1337,Advanced Bio-scrubber
487.7,1145.9,0.107,184,5651,7.43,39.0,4.29,activated carbon,94,177.1,400.8,0.039,54,1071,Advanced Bio-scrubber
432.4,266.2,0.083,106,1609,8.09,26.1,4.89,biochar,60,167.3,88.8,0.024,42,415,Compost Biofilter
138.1,575.6,0.019,160,8940,7.2,23.4,6.61,woodchips,59,50.8,229.3,0.003,26,2328,Trickling Biofilter
308.0,1138.0,0.04,179,4866,5.8,29.2,1.67,biochar,20,101.3,389.9,0.005,50,1187,Trickling Biofilter
244.4,561.7,0.007,65,1371,8.9,26.1,5.53,biochar,65,78.7,130.8,0.002,22,143,Compost Biofilter
231.3,802.4,0.073,131,7998,7.31,20.7,2.64,activated carbon,80,67.9,313.8,0.008,26,1703,Trickling Biofilter
683.3,537.4,0.049,64,1615,7.65,26.5,6.17,biochar,51,222.3,179.3,0.014,14,403,Trickling Biofilter
323.7,401.6,0.092,266,7911,6.33,30.9,6.74,biochar,48,116.2,85.1,0.015,97,1495,Advanced Bio-scrubber
633.1,1182.4,0.048,123,7010,7.19,31.0,6.01,woodchips,78,249.3,392.0,0.018,27,2026,Trickling Biofilter
471.3,550.3,0.048,104,3253,7.0,27.1,7.64,biochar,57,138.3,207.3,0.012,30,861,Trickling Biofilter
572.8,1083.5,0.113,153,5942,5.76,28.9,4.02,woodchips,66,180.3,341.7,0.019,56,1353,Advanced Bio-scrubber
391.6,353.0,0.012,127,1864,5.87,39.3,7.89,activated carbon,30,113.2,95.6,0.004,21,210,Compost Biofilter
437.7,334.4,0.136,37,2268,8.43,27.5,4.89,woodchips,91,146.1,121.8,0.024,15,523,Compost Biofilter
385.4,134.2,0.129,113,8454,6.34,25.2,5.36,gravel,29,125.6,47.8,0.025,35,2387,Trickling Biofilter
201.1,816.8,0.102,169,9976,6.18,24.9,6.83,gravel,24,40.9,252.3,0.036,42,1755,Advanced Bio-scrubber
527.9,505.4,0.091,265,5571,7.27,29.2,1.17,woodchips,78,162.7,116.7,0.018,61,1491,Advanced Bio-scrubber
254.1,1050.8,0.134,228,6229,8.19,35.2,6.89,gravel,86,55.3,262.9,0.03,88,1013,Advanced Bio-scrubber
95.1,620.5,0.032,145,3237,5.72,24.1,6.57,activated carbon,60,19.5,215.7,0.007,23,693,Trickling Biofilter
480.2,1165.0,0.016,254,5054,7.52,34.2,3.79,gravel,85,172.0,420.8,0.002,49,1161,Trickling Biofilter
189.8,304.1,0.04,141,1935,5.92,20.4,1.77,woodchips,71,47.8,77.8,0.004,27,456,Compost Biofilter
663.1,1055.5,0.12,157,7394,5.63,28.4,1.82,activated carbon,94,177.8,288.8,0.038,29,2045,Advanced Bio-scrubber
671.4,954.3,0.01,134,8891,5.68,35.5,9.31,gravel,46,142.9,205.7,0.003,32,1306,Trickling Biofilter
647.2,948.0,0.09,181,1325,8.42,26.8,7.2,activated carbon,15,152.7,324.9,0.017,72,202,Advanced Bio-scrubber
309.5,1029.3,0.149,220,8774,5.91,31.3,2.14,woodchips,80,109.3,206.6,0.028,81,2113,Advanced Bio-scrubber
89.6,937.1,0.129,253,4861,5.66,24.1,4.21,gravel,35,26.8,196.1,0.049,50,658,Advanced Bio-scrubber
655.6,788.8,0.081,47,2985,7.03,34.8,6.33,activated carbon,17,246.6,158.4,0.032,11,576,Trickling Biofilter
345.5,244.4,0.014,30,5932,8.45,21.0,8.52,activated carbon,82,96.5,80.4,0.003,9,617,Compost Biofilter
679.3,135.8,0.126,225,5603,6.42,37.1,1.39,gravel,13,172.4,38.5,0.043,24,718,Advanced Bio-scrubber
677.4,1112.9,0.092,186,3778,6.98,24.0,3.13,activated carbon,30,182.6,288.8,0.03,64,891,Advanced Bio-scrubber
608.9,778.3,0.022,266,9832,5.64,37.5,9.01,activated carbon,40,208.6,297.7,0.004,97,2453,Advanced Bio-scrubber
262.6,976.2,0.019,66,8754,7.07,27.1,1.08,woodchips,30,81.7,232.9,0.002,24,1077,Trickling Biofilter
318.8,629.7,0.137,265,5078,7.52,34.5,2.81,woodchips,34,121.4,175.0,0.02,56,739,Advanced Bio-scrubber
607.7,229.0,0.102,146,2367,7.5,26.4,9.63,woodchips,24,194.7,88.9,0.036,35,284,Trickling Biofilter
276.5,237.7,0.125,166,5042,6.66,38.1,6.52,woodchips,44,82.6,67.8,0.04,17,941,Trickling Biofilter
185.1,854.1,0.132,137,3575,6.6,22.5,3.36,woodchips,58,66.1,265.6,0.04,30,448,Trickling Biofilter
425.2,573.3,0.088,171,7754,5.87,23.6,1.6,woodchips,52,165.6,123.9,0.012,41,1454,Advanced Bio-scrubber
660.4,320.6,0.08,91,2581,6.78,29.9,1.25,gravel,50,179.1,114.8,0.023,34,636,Trickling Biofilter
511.5,640.8,0.067,156,2986,5.85,21.6,3.2,woodchips,46,127.9,182.3,0.022,57,707,Advanced Bio-scrubber
433.4,170.6,0.051,194,3240,8.18,23.9,8.93,activated carbon,66,140.1,61.4,0.018,76,506,Trickling Biofilter
140.2,740.2,0.068,38,4966,8.88,38.9,4.74,gravel,51,42.0,185.6,0.007,14,1166,Trickling Biofilter
461.3,395.9,0.117,214,8604,8.9,39.5,7.48,activated carbon,56,183.5,112.6,0.036,22,2457,Trickling Biofilter
693.8,977.3,0.092,194,9320,8.53,27.5,9.26,woodchips,70,202.9,349.2,0.01,57,1580,Advanced Bio-scrubber
166.9,441.4,0.134,160,6968,7.6,38.5,4.67,woodchips,23,35.9,174.3,0.042,19,1155,Advanced Bio-scrubber
401.4,600.7,0.069,265,8493,7.95,30.9,2.72,activated carbon,77,158.7,127.3,0.02,48,1820,Advanced Bio-scrubber
624.0,112.8,0.093,112,5103,6.5,25.4,5.65,activated carbon,62,230.1,40.9,0.013,31,761,Trickling Biofilter
539.3,179.7,0.097,258,3076,7.71,34.0,9.17,activated carbon,93,127.1,46.7,0.032,80,708,Advanced Bio-scrubber
512.1,531.7,0.091,224,6231,7.09,33.2,8.24,biochar,43,195.1,164.9,0.011,66,1660,Advanced Bio-scrubber
515.5,627.9,0.107,67,3994,7.19,39.8,1.59,biochar,85,138.2,162.0,0.037,8,766,Advanced Bio-scrubber
302.9,760.0,0.039,264,4744,8.15,25.3,7.23,biochar,33,83.4,245.2,0.007,35,1119,Trickling Biofilter
262.0,420.8,0.079,147,6594,6.49,33.4,6.15,biochar,29,99.9,113.9,0.024,20,1519,Trickling Biofilter
581.8,864.5,0.02,36,8531,6.61,21.0,9.17,gravel,78,178.0,230.6,0.008,5,919,Trickling Biofilter
582.3,1046.1,0.061,90,8371,8.74,22.3,2.1,woodchips,39,132.5,217.2,0.012,14,1144,Advanced Bio-scrubber
617.6,957.8,0.076,288,2644,5.7,20.1,5.81,activated carbon,97,169.1,219.7,0.019,88,737,Advanced Bio-scrubber
646.2,143.6,0.1,26,4144,7.2,40.0,8.92,woodchips,16,222.6,55.1,0.024,9,1193,Trickling Biofilter
397.0,628.6,0.143,122,1242,8.69,36.0,4.69,activated carbon,45,93.2,251.2,0.021,27,318,Trickling Biofilter
390.9,215.4,0.092,212,5085,7.64,35.7,5.34,woodchips,47,124.3,76.7,0.025,65,1445,Trickling Biofilter
574.9,366.2,0.113,260,8954,7.41,30.2,1.63,gravel,89,194.9,94.2,0.036,42,1444,Advanced Bio-scrubber
483.0,1185.3,0.078,81,8269,6.37,26.0,3.5,biochar,61,129.8,332.5,0.029,32,1237,Trickling Biofilter
515.2,256.7,0.097,36,8130,6.7,23.0,3.92,woodchips,24,174.5,89.3,0.034,7,1438,Trickling Biofilter
573.4,648.8,0.015,190,7828,8.48,25.7,9.51,activated carbon,55,216.1,255.4,0.004,67,869,Advanced Bio-scrubber
631.8,780.0,0.042,44,9362,7.46,27.5,3.54,woodchips,32,186.0,227.1,0.013,17,2453,Trickling Biofilter
289.6,872.7,0.057,270,9844,7.3,35.1,5.15,gravel,21,80.1,319.3,0.019,97,2922,Advanced Bio-scrubber
312.9,715.6,0.074,272,7331,5.85,30.8,7.04,gravel,53,78.3,282.7,0.018,33,1941,Advanced Bio-scrubber
138.3,110.7,0.012,226,4512,5.56,21.5,2.46,woodchips,24,44.4,41.5,0.002,67,952,Trickling Biofilter
438.5,459.1,0.025,48,2499,8.87,20.4,5.38,biochar,58,164.9,112.7,0.006,7,397,Compost Biofilter
102.3,669.5,0.045,136,3158,6.82,22.0,7.65,activated carbon,30,27.1,135.0,0.016,14,441,Trickling Biofilter
368.7,196.7,0.146,163,6162,7.61,28.2,8.8,gravel,24,103.0,58.7,0.041,19,1065,Trickling Biofilter
416.4,485.7,0.053,44,5039,5.78,38.7,6.64,gravel,23,117.1,148.8,0.017,16,1176,Trickling Biofilter
257.7,136.5,0.075,175,3035,7.89,32.7,7.02,woodchips,51,80.4,32.8,0.012,65,575,Trickling Biofilter
446.3,186.4,0.033,92,8977,8.76,36.0,2.14,gravel,89,109.6,47.9,0.013,15,2575,Compost Biofilter
98.9,536.6,0.094,139,1857,7.51,29.3,9.51,gravel,24,36.0,189.4,0.021,37,503,Trickling Biofilter
103.2,246.0,0.046,112,4823,5.94,27.2,2.19,activated carbon,72,26.7,72.3,0.014,43,581,Compost Biofilter
590.0,724.3,0.035,105,7770,7.54,22.2,7.97,biochar,77,201.2,190.8,0.004,26,981,Trickling Biofilter
303.3,858.4,0.08,137,1298,8.18,37.5,3.38,activated carbon,36,91.8,278.6,0.011,30,305,Trickling Biofilter
158.8,980.6,0.006,252,8244,6.92,35.7,9.4,biochar,96,50.4,324.1,0.002,62,1205,Trickling Biofilter
403.8,320.2,0.006,218,1923,8.58,23.4,7.48,activated carbon,62,95.3,113.3,0.002,73,497,Compost Biofilter
557.4,284.2,0.037,225,5232,7.77,30.2,7.78,woodchips,61,193.4,65.7,0.007,55,1142,Trickling Biofilter
213.8,215.0,0.01,166,5306,8.65,29.7,2.97,gravel,72,50.8,74.9,0.001,56,774,Trickling Biofilter
466.2,800.1,0.021,290,3799,7.68,32.5,4.99,biochar,82,103.8,255.9,0.004,67,744,Trickling Biofilter
132.9,877.1,0.054,158,7578,5.96,38.9,6.56,woodchips,62,41.1,185.5,0.006,28,1373,Advanced Bio-scrubber
112.0,134.7,0.121,200,5875,6.58,31.6,7.93,gravel,66,38.3,47.9,0.019,40,1613,Trickling Biofilter
409.4,1129.8,0.088,49,6326,6.21,30.8,1.94,gravel,61,86.0,312.5,0.029,6,673,Trickling Biofilter
415.2,157.2,0.079,76,7582,8.68,21.0,9.66,gravel,52,88.8,41.8,0.03,19,2117,Trickling Biofilter
475.2,695.4,0.048,251,2802,8.16,21.3,9.01,activated carbon,16,171.3,201.4,0.006,36,646,Trickling Biofilter
530.2,880.0,0.14,165,3657,7.87,23.7,3.43,woodchips,51,191.8,236.9,0.037,57,905,Advanced Bio-scrubber
685.0,1058.1,0.063,67,4346,6.55,20.6,8.4,woodchips,13,170.6,283.2,0.011,15,437,Advanced Bio-scrubber
400.1,885.5,0.018,213,3949,6.14,34.9,5.66,gravel,78,129.3,320.2,0.003,70,891,Trickling Biofilter
280.2,981.9,0.094,243,1941,8.15,34.5,5.16,biochar,14,80.9,220.8,0.016,94,423,Trickling Biofilter
573.0,473.4,0.022,155,2907,7.16,22.7,3.83,woodchips,84,187.1,186.6,0.006,55,603,Trickling Biofilter
247.9,996.3,0.055,41,5837,6.29,36.7,6.23,activated carbon,89,92.4,309.8,0.007,16,1501,Trickling Biofilter
352.2,188.1,0.079,25,9105,7.66,23.1,7.57,biochar,50,76.1,44.5,0.018,7,1923,Trickling Biofilter
128.6,1084.3,0.132,223,2243,5.64,26.0,4.7,biochar,13,45.7,245.3,0.019,33,609,Trickling Biofilter
95.7,702.4,0.077,258,6696,6.64,25.0,6.66,biochar,11,28.6,223.6,0.014,98,981,Advanced Bio-scrubber
676.8,999.0,0.107,204,2466,7.14,27.4,7.29,biochar,76,211.7,326.3,0.017,74,644,Advanced Bio-scrubber
598.3,597.6,0.149,239,4957,6.02,25.1,7.4,woodchips,30,197.9,125.9,0.054,86,673,Advanced Bio-scrubber
511.5,807.9,0.024,135,2966,8.95,29.8,1.47,gravel,79,196.7,200.8,0.007,42,779,Trickling Biofilter
333.6,679.0,0.045,68,1375,6.23,28.1,8.74,biochar,52,70.5,243.8,0.016,20,396,Compost Biofilter
187.4,904.7,0.062,192,1262,5.96,39.7,5.12,activated carbon,91,38.6,189.9,0.013,20,211,Trickling Biofilter
177.0,189.8,0.066,101,5362,6.21,21.1,3.36,activated carbon,78,41.7,70.4,0.013,33,1104,Trickling Biofilter
235.2,166.4,0.065,64,7502,8.19,22.8,3.18,gravel,18,93.4,55.2,0.014,8,1738,Trickling Biofilter
420.5,371.8,0.137,39,8833,6.99,21.1,5.35,woodchips,93,144.2,106.7,0.014,7,1024,Trickling Biofilter
523.0,275.5,0.109,240,2893,7.48,32.5,8.98,gravel,37,168.9,74.2,0.035,64,575,Trickling Biofilter
489.3,1059.0,0.093,142,9106,5.57,21.1,4.41,biochar,35,102.5,215.9,0.019,33,1567,Trickling Biofilter
253.6,341.1,0.05,253,2652,5.62,36.7,7.75,woodchips,91,95.3,124.5,0.01,26,728,Compost Biofilter
672.0,1173.5,0.124,240,6540,7.06,30.2,1.87,woodchips,92,243.6,268.2,0.035,83,1801,Advanced Bio-scrubber
537.5,470.6,0.143,22,4892,8.36,30.5,5.28,biochar,12,179.0,123.3,0.033,8,1175,Advanced Bio-scrubber
423.7,300.3,0.124,201,1599,8.6,31.2,9.93,activated carbon,82,113.5,94.2,0.049,61,370,Trickling Biofilter
459.3,968.7,0.005,225,5815,5.8,23.4,7.93,biochar,58,98.3,241.4,0.001,59,1435,Trickling Biofilter
340.2,824.6,0.097,59,2912,7.38,24.0,2.89,gravel,26,107.5,246.9,0.028,23,504,Trickling Biofilter
233.6,648.0,0.012,78,9792,8.7,26.4,5.51,biochar,72,80.3,234.5,0.002,11,1771,Trickling Biofilter
300.7,710.9,0.042,81,9572,6.86,31.9,3.1,activated carbon,64,65.8,209.1,0.017,26,2017,Trickling Biofilter
549.9,891.1,0.014,151,5213,8.4,24.2,4.69,biochar,32,179.7,347.3,0.003,21,1499,Advanced Bio-scrubber
88.9,351.3,0.093,79,4637,5.97,22.3,8.02,gravel,43,22.9,129.8,0.027,17,1135,Trickling Biofilter
152.0,1196.0,0.105,141,6599,8.77,39.4,7.94,gravel,78,53.6,318.9,0.014,39,1387,Trickling Biofilter
108.5,1172.3,0.022,126,7448,8.13,20.4,3.05,activated carbon,24,33.4,328.2,0.007,40,1892,Trickling Biofilter
105.3,815.4,0.061,115,9557,8.79,36.1,9.3,gravel,56,23.8,232.1,0.011,12,1665,Trickling Biofilter
610.4,319.5,0.071,254,8382,7.87,35.8,6.33,gravel,12,186.4,103.9,0.017,45,2063,Advanced Bio-scrubber
516.3,848.3,0.059,81,9982,6.77,25.9,4.42,biochar,92,144.1,218.3,0.022,21,1818,Advanced Bio-scrubber
374.0,179.4,0.023,275,4569,8.78,22.7,5.52,woodchips,37,88.3,70.7,0.009,71,712,Trickling Biofilter
140.7,133.7,0.066,68,8707,6.46,22.9,6.45,gravel,12,51.8,43.0,0.015,20,1932,Trickling Biofilter
384.8,383.5,0.114,178,1746,6.66,33.9,6.04,gravel,13,77.8,107.3,0.04,34,414,Trickling Biofilter
373.6,608.9,0.015,143,9504,7.95,32.9,5.38,activated carbon,97,98.0,200.3,0.002,37,1823,Trickling Biofilter
187.4,1055.1,0.017,226,5633,8.18,35.7,5.54,activated carbon,40,38.0,294.5,0.006,35,1200,Trickling Biofilter
349.0,899.9,0.056,67,1920,8.75,38.7,2.59,biochar,54,76.5,327.2,0.016,10,459,Trickling Biofilter
327.1,917.0,0.142,155,8008,6.22,33.8,8.31,biochar,68,84.9,287.5,0.035,42,2030,Advanced Bio-scrubber
461.8,568.0,0.102,220,3381,8.29,23.1,5.88,gravel,54,97.4,118.4,0.037,67,944,Advanced Bio-scrubber
473.8,480.5,0.103,269,4618,8.08,24.9,2.18,woodchips,84,151.3,113.1,0.036,37,789,Advanced Bio-scrubber
108.1,508.1,0.057,228,9989,5.72,36.8,7.9,woodchips,46,23.5,189.5,0.011,31,2900,Advanced Bio-scrubber
312.3,1186.4,0.091,230,5443,6.86,24.2,9.39,biochar,74,106.3,370.8,0.031,62,1238,Advanced Bio-scrubber
468.0,144.1,0.006,211,1272,6.49,21.5,9.53,activated carbon,18,98.5,56.2,0.001,38,328,Compost Biofilter
391.9,1053.7,0.097,63,2773,6.57,34.1,4.32,gravel,26,83.0,226.0,0.034,14,665,Trickling Biofilter
611.0,736.5,0.137,48,3547,8.94,28.1,2.22,gravel,74,159.5,190.8,0.041,11,501,Advanced Bio-scrubber
488.4,582.5,0.094,78,4164,7.75,38.4,5.67,woodchips,12,185.3,139.0,0.012,12,476,Trickling Biofilter
181.0,897.8,0.132,90,5780,8.01,33.0,2.01,biochar,35,59.4,279.0,0.04,9,1418,Trickling Biofilter
123.8,635.3,0.11,111,1946,8.92,21.8,9.41,woodchips,62,43.8,175.7,0.03,40,394,Trickling Biofilter
478.3,1060.8,0.022,284,1506,6.82,39.0,2.65,woodchips,40,109.2,245.5,0.006,89,362,Trickling Biofilter
96.4,1090.8,0.136,239,7719,8.31,25.2,3.27,biochar,35,35.4,358.4,0.025,73,1508,Advanced Bio-scrubber
443.2,563.9,0.015,234,9435,7.02,26.7,4.66,activated carbon,32,89.4,173.3,0.003,62,1533,Trickling Biofilter
662.9,404.5,0.082,296,9697,8.54,28.0,4.45,gravel,39,160.8,103.1,0.027,92,1522,Advanced Bio-scrubber
436.8,751.6,0.026,83,7360,6.13,21.0,8.15,activated carbon,19,141.2,222.4,0.005,32,1811,Trickling Biofilter
320.7,1103.6,0.007,264,8657,8.82,29.9,5.11,biochar,81,88.2,385.3,0.002,79,1345,Trickling Biofilter
478.8,331.7,0.066,81,4590,6.27,22.5,2.54,biochar,98,190.0,80.0,0.02,15,1115,Trickling Biofilter
364.1,785.3,0.048,189,2192,6.64,28.0,3.4,gravel,73,75.0,203.1,0.006,51,388,Trickling Biofilter
418.3,794.7,0.075,288,2464,8.15,27.0,5.58,activated carbon,31,167.2,214.0,0.021,67,626,Trickling Biofilter
663.7,906.4,0.089,286,1390,6.88,35.5,2.33,gravel,24,215.5,316.6,0.025,76,179,Advanced Bio-scrubber
319.4,244.7,0.011,73,6615,7.63,36.1,6.5,woodchips,65,99.6,90.4,0.003,19,933,Compost Biofilter
675.9,887.4,0.023,35,7106,7.06,23.1,6.09,woodchips,83,143.2,244.3,0.005,13,1685,Trickling Biofilter
641.3,1099.9,0.086,27,9864,8.1,27.3,7.43,woodchips,29,163.3,285.2,0.02,8,2092,Advanced Bio-scrubber
201.4,297.7,0.055,123,3560,6.3,27.5,9.44,activated carbon,56,77.5,112.5,0.011,19,501,Trickling Biofilter
123.0,361.3,0.111,78,6867,5.7,23.0,9.21,woodchips,96,33.3,144.5,0.038,9,1927,Trickling Biofilter
142.5,1168.5,0.1,59,2211,6.55,36.0,9.51,gravel,62,47.4,390.4,0.014,13,343,Trickling Biofilter
91.3,299.1,0.128,256,2539,7.16,34.1,3.2,activated carbon,62,36.5,119.0,0.05,27,468,Trickling Biofilter
138.6,1039.8,0.105,113,1643,6.09,23.8,2.18,gravel,10,35.0,345.2,0.03,22,231,Trickling Biofilter
503.5,641.5,0.067,241,9693,6.74,27.3,3.72,biochar,11,158.7,222.4,0.025,51,1722,Advanced Bio-scrubber
124.1,372.0,0.103,223,9921,6.9,22.1,9.06,activated carbon,67,42.1,103.3,0.023,47,1968,Trickling Biofilter
277.8,1057.8,0.045,157,2283,5.7,32.6,9.75,gravel,28,64.7,303.2,0.009,62,363,Trickling Biofilter
603.8,589.8,0.049,226,8680,7.54,22.4,8.73,gravel,71,138.7,135.0,0.018,43,2203,Advanced Bio-scrubber
94.4,666.3,0.119,100,8345,8.6,39.7,1.99,activated carbon,87,27.5,242.9,0.015,18,1492,Trickling Biofilter
585.0,495.2,0.07,237,5386,6.03,35.6,9.53,biochar,81,162.1,191.3,0.009,33,1324,Advanced Bio-scrubber
254.7,752.2,0.121,21,1919,7.59,27.8,4.81,activated carbon,21,87.3,244.2,0.023,5,271,Trickling Biofilter
153.3,279.9,0.124,197,3339,7.83,31.6,1.08,woodchips,35,32.8,75.2,0.048,29,586,Trickling Biofilter
512.0,530.2,0.129,298,9947,6.97,38.2,4.98,woodchips,36,201.9,122.4,0.037,85,1011,Advanced Bio-scrubber
469.9,1166.4,0.138,165,6930,7.95,31.1,1.41,biochar,38,95.3,295.1,0.037,24,1744,Advanced Bio-scrubber
624.0,383.9,0.067,243,6402,6.94,23.5,5.89,gravel,24,199.8,96.4,0.021,66,1442,Advanced Bio-scrubber
535.7,822.4,0.051,81,6663,7.27,27.6,4.05,gravel,55,167.4,265.4,0.011,28,1756,Advanced Bio-scrubber
578.2,457.7,0.089,258,6275,5.53,36.9,5.26,gravel,10,131.2,178.0,0.029,29,1199,Advanced Bio-scrubber
254.9,950.8,0.059,214,1507,7.92,32.9,6.52,activated carbon,69,58.7,199.3,0.013,48,392,Trickling Biofilter
190.0,244.0,0.092,185,2436,7.81,33.0,8.82,activated carbon,66,68.1,48.8,0.032,44,559,Trickling Biofilter
545.4,1166.8,0.107,241,9750,5.63,37.3,6.96,biochar,12,205.9,373.4,0.019,81,982,Advanced Bio-scrubber
580.2,599.2,0.105,80,8354,6.79,37.9,4.91,woodchips,27,148.9,153.9,0.019,19,1259,Advanced Bio-scrubber
694.1,359.7,0.059,148,5516,8.93,38.4,8.37,gravel,61,199.6,135.3,0.015,40,1096,Trickling Biofilter
335.8,180.8,0.029,192,4622,6.97,21.9,9.15,woodchips,69,91.0,48.0,0.007,65,1034,Trickling Biofilter
310.7,286.7,0.067,175,5399,7.26,30.9,2.08,activated carbon,43,66.6,74.0,0.02,47,611,Trickling Biofilter
561.4,671.8,0.026,129,6037,8.68,34.8,5.79,activated carbon,98,187.9,170.6,0.005,27,1455,Trickling Biofilter
291.3,470.7,0.134,288,9111,8.01,35.1,3.56,activated carbon,69,106.3,107.8,0.023,36,1902,Advanced Bio-scrubber
657.1,1011.8,0.055,297,4715,7.54,32.1,1.42,woodchips,35,171.5,320.0,0.013,95,967,Advanced Bio-scrubber
612.2,574.0,0.027,93,8837,8.29,23.3,7.02,biochar,81,243.7,134.1,0.007,34,1400,Trickling Biofilter
346.0,373.6,0.009,226,2301,8.53,35.9,8.76,biochar,28,74.4,106.4,0.001,88,504,Compost Biofilter
545.5,778.9,0.099,298,8370,7.1,34.4,2.47,activated carbon,31,181.3,227.6,0.026,113,883,Advanced Bio-scrubber
547.8,877.5,0.097,223,6185,7.16,21.7,8.31,gravel,42,158.7,179.1,0.019,76,699,Advanced Bio-scrubber
143.9,283.7,0.054,180,3155,6.85,29.3,8.68,woodchips,47,41.6,57.7,0.012,53,779,Trickling Biofilter
639.6,284.4,0.015,47,7411,8.88,23.5,9.23,activated carbon,44,186.5,86.5,0.003,16,1218,Trickling Biofilter
393.3,140.3,0.064,276,7365,7.94,26.7,3.39,woodchips,76,99.0,47.6,0.024,63,1248,Trickling Biofilter
592.4,910.0,0.05,184,1692,5.79,20.4,9.14,woodchips,92,203.3,353.5,0.015,51,240,Trickling Biofilter
278.4,830.2,0.103,82,2478,8.52,28.0,3.89,biochar,19,95.9,195.8,0.018,17,469,Trickling Biofilter
635.2,622.1,0.093,41,7396,7.18,31.0,5.97,activated carbon,24,162.9,137.3,0.027,8,817,Advanced Bio-scrubber
321.3,1028.6,0.058,89,9448,5.74,32.4,1.45,biochar,20,117.9,216.4,0.021,29,1512,Trickling Biofilter
86.7,986.2,0.037,115,1441,7.42,33.3,1.39,activated carbon,99,22.8,283.2,0.008,27,296,Compost Biofilter
641.3,743.9,0.148,182,3646,6.96,36.7,7.48,woodchips,33,221.3,241.5,0.052,30,704,Advanced Bio-scrubber
136.6,1055.1,0.071,98,6209,8.57,24.3,5.0,biochar,86,30.6,388.4,0.01,16,1862,Trickling Biofilter
278.0,326.4,0.105,24,7533,6.21,22.4,3.31,woodchips,13,65.0,109.8,0.036,9,1339,Trickling Biofilter
669.0,223.1,0.025,139,5677,8.39,37.0,2.71,activated carbon,22,176.1,53.9,0.007,42,1007,Trickling Biofilter
669.4,396.7,0.075,197,8211,7.45,23.1,7.03,gravel,82,213.4,116.0,0.013,52,1648,Advanced Bio-scrubber
435.5,162.8,0.009,195,3645,5.69,39.5,1.0,biochar,66,143.3,62.2,0.002,43,503,Trickling Biofilter
471.7,684.3,0.078,236,9210,8.9,36.9,8.25,biochar,46,131.7,181.6,0.031,54,2535,Advanced Bio-scrubber
358.0,1130.3,0.145,75,8933,7.29,30.0,1.71,woodchips,57,77.2,338.8,0.049,9,1916,Trickling Biofilter
261.8,143.3,0.061,206,6476,6.52,39.6,2.72,woodchips,80,71.9,56.1,0.017,49,896,Trickling Biofilter
283.8,234.3,0.011,251,8928,7.14,21.9,4.48,gravel,10,95.9,81.3,0.001,85,2310,Trickling Biofilter
497.0,597.4,0.009,274,3080,8.5,26.1,5.36,biochar,69,166.1,208.8,0.002,59,329,Trickling Biofilter
546.5,1127.3,0.061,123,7089,6.57,32.8,4.19,activated carbon,21,126.8,282.4,0.011,26,2102,Advanced Bio-scrubber
570.8,447.8,0.028,96,8396,6.17,27.0,3.89,activated carbon,30,115.0,126.7,0.003,10,2292,Trickling Biofilter
569.6,658.0,0.008,249,8797,5.95,38.6,9.68,biochar,20,199.7,142.4,0.002,59,1900,Advanced Bio-scrubber
136.5,145.7,0.115,277,1861,6.54,21.3,6.77,biochar,53,30.2,46.8,0.042,30,228,Trickling Biofilter
386.5,263.2,0.071,283,9346,8.23,31.0,1.21,biochar,67,83.7,58.1,0.021,77,1337,Trickling Biofilter
115.7,1185.3,0.047,201,4494,7.15,31.8,4.87,gravel,53,23.2,435.2,0.008,51,701,Trickling Biofilter
420.7,1161.6,0.136,275,1904,6.3,33.1,8.88,activated carbon,87,120.5,421.6,0.037,97,282,Trickling Biofilter
353.7,105.4,0.022,57,2269,6.08,25.1,3.71,activated carbon,43,106.3,32.3,0.008,16,453,Compost Biofilter
630.4,1147.0,0.144,195,1404,6.66,27.3,1.85,woodchips,34,206.5,261.8,0.046,38,406,Advanced Bio-scrubber
297.6,803.0,0.051,46,2184,8.79,36.9,7.83,woodchips,13,77.1,164.7,0.016,12,412,Trickling Biofilter
152.6,1054.7,0.134,295,9938,6.7,23.9,6.45,biochar,73,52.2,379.0,0.052,91,2309,Advanced Bio-scrubber
168.7,600.2,0.092,159,2725,8.96,36.5,6.13,woodchips,99,39.5,192.1,0.031,20,648,Trickling Biofilter
552.1,667.2,0.125,110,9462,7.2,31.3,1.48,gravel,25,202.3,228.3,0.018,31,2596,Advanced Bio-scrubber
463.3,637.7,0.148,80,6811,6.13,35.2,2.26,activated carbon,19,145.6,166.3,0.03,30,727,Trickling Biofilter
142.7,833.6,0.047,182,6606,8.62,34.3,6.6,activated carbon,75,45.2,251.7,0.018,35,1195,Trickling Biofilter
132.1,253.6,0.144,162,4956,7.11,24.2,2.87,woodchips,44,32.0,88.6,0.036,47,1273,Trickling Biofilter
514.6,133.0,0.061,272,1171,7.98,31.4,5.54,biochar,92,110.5,38.9,0.008,94,308,Trickling Biofilter
